"0x000000000000000000000000000000000000dead","1"
"0x0144c8a1c8691c93da212609b7e1041e64210468","19"
"0x04f19722cc685fe3adbb3efc69de969b21fa3569","5"
"0x050a560ad5f501cc6fc7dd9b10482051fc56d24b","26"
"0x05996007c6071d2aead99b1c6b712bfb888bb71c","10"
"0x0735832e9f0037ac8ab6b10d7d264f9b38a9d6a7","6"
"0x07be036f5baeda1115b1132e2412900d85985510","2"
"0x07c7d4ee6fa803114d863bde46bcff5a5157de1c","1"
"0x07ff43fef899f5c69d5f771f44f12954455fd8e2","4"
"0x08463568344ec6862904b188b5a26bb81aa12201","1"
"0x09d7418a0b62e70d94ada390b09e482ad2d85e1c","1"
"0x09f0e2f6ac543ee7653c05f592fbb2f5d1f8cb2a","9"
"0x0a0f313c154338e40bfbf33e946299cddd259f0d","1"
"0x0aaf12e967bf6a00c863735aab30031a9aaac429","10"
"0x0ba248d14c1edeeff527854024c41fc60fc2b42b","20"
"0x0be8bc490093ebd4361f14ecf64977a6519a9b48","7"
"0x0d182abb31c5c5060502bec2c4153f9747e598bb","1"
"0x0d69383021a62e31644472ee75c71648e9bc1d2f","1"
"0x0da90deaa61e8c2b6ab82023e72bedc0be82c4f1","8"
"0x10a9eae4d9186c7f666a80ad64df1fdc8e0d2b1d","1"
"0x11717fb8c74bc3fe1268cee13898ba6f550763d5","18"
"0x121e9da048d70e70caa07bf7c7548bcce906835a","3"
"0x1349f0975fe8313e765f37b6d7b6fbdfdb13d025","5"
"0x155e32a5fc0dac7b069ac4cd82bf0b1b73a1e7e5","1"
"0x159f7a2e758d8f16615d6ce6b35040d4c629a38f","2"
"0x15a5ee798fe010cdc18295c30af76ae475211fd2","5"
"0x162196a46ae350ab10fe219bca715cd28bb90d22","1"
"0x174382f5c66ab9045ee784aaa9c201e84e289338","16"
"0x1746a9fa5d8ffa2fe85911f7956156f7f148847b","6"
"0x1807bba25e904a8798ebe50c5b2735996ad68c27","1"
"0x18101f05f8180b4ca5347c990544aaede8b7425e","15"
"0x1a0c5f0d1684e8cc8459d6d9cb919977cb6668c1","2"
"0x1a107fcb3f05654d45dd417f549546fc0e63d7ca","2"
"0x1a305bebdaa5b821b22f47d10cd7c1bab915bad5","1"
"0x1ac8d541b8643b8bc15d3a48e76826597f4dca55","50"
"0x1b6bc7ea3b3612d7e43842e5bee97433a89b4afd","1"
"0x1d6fa76b3a383cb9ab4151f9ab1597bc95948a4c","20"
"0x1da58933f381edf6f09e9faf2ca789b48e58bafb","100"
"0x1e59fd8de7d13cf7681658e5f9f318326840f8df","20"
"0x1f428262b898a3adcaae1508f0c708a9151610c6","28"
"0x1ff5fd0c5a7fc3c74ab2e407e23ed0855ee20697","12"
"0x2083b4d378239304cddb7f4ed1df31349e3ef7f6","10"
"0x21f27f429b289007cd682d587893b95338d73803","2"
"0x22035d938b3fe388586f362c3bcf5471383a2ac9","5"
"0x227602e85370b8b58c3f43b75cfcc380293d46c7","8"
"0x22ed4a07ed8b6cbbf8505124bd93170bf979ead0","1"
"0x24306bdc0ad35c844e8f5e9d869974fb8f584607","13"
"0x2447c20c6225da4cdaa30179b39c1399f947f953","3"
"0x24576f2193b7c09d372e834fdc120d79257cb447","22"
"0x25104e2ec7bf52f3ff9d688737a9ed7ce7680adc","2"
"0x255b45c04f138a037afe7c57da3f8d1cfb4115c4","3"
"0x256a0f2c2e4e25be77d0fd4fd240367c30b72f51","99"
"0x264366130e553183a764cb7cae236181cfce9f5e","5"
